TargetIndex,TimeOfDay,EgoSpeed,TrafficAmount,KeepLane,Weather,F0_0,F1_0,F2_0,F3_0,Y0,Y1,Y2,Y3,Y
0.0,0.07,46.0,8.0,1.0,6.0,9999.900390625,-17063.671875,-547.3799047964303,100.1336,1.0,0.0,1.0,0.0,1
0.0,0.08,48.0,10.0,1.0,0.0,4.7528486251831055,-16349.76513671875,-652.686790722948,109.26875,1.0,0.0,1.0,0.0,1
0.0,0.13,20.0,2.0,0.0,6.0,9999.900390625,-0.014642703346908,-513.4130993713462,69.84187,0.0,0.0,0.0,1.0,1
0.0,0.28,41.0,3.0,1.0,2.0,9999.900390625,-84854.828125,-560.6710833607477,101.80797,1.0,1.0,0.0,0.0,1
0.0,0.34,41.0,5.0,0.0,6.0,4.3511247634887695,-9112.33544921875,-793.2866407211785,109.34304,1.0,0.0,1.0,1.0,1
0.0,0.43,41.0,0.0,1.0,6.0,9999.900390625,-2173.7410430908203,-496.06839799753527,55.187767,0.0,0.0,0.0,0.0,0
0.0,0.44,26.0,10.0,1.0,5.0,9999.900390625,-16121.205078125,-572.4942408730165,104.56559,1.0,0.0,1.0,0.0,1
0.0,0.46,49.0,2.0,0.0,4.0,9999.900390625,-1161.0782012939453,-474.9931634556692,53.3565,0.0,0.0,1.0,1.0,1
0.0,0.51,20.0,7.0,1.0,4.0,9999.900390625,-13499.10546875,-650.979289502715,109.41614,1.0,0.0,1.0,1.0,1
0.0,0.56,30.0,4.0,0.0,6.0,4.907334327697754,-16183.7890625,-671.7203594761214,109.16655,1.0,0.0,1.0,1.0,1
0.0,0.61,49.0,3.0,1.0,1.0,9999.900390625,-21456.16015625,-558.5256697418247,100.36888,1.0,0.0,1.0,0.0,1
0.0,0.76,20.0,8.0,0.0,6.0,9999.900390625,-31.515167236328125,-513.011100475029,69.92595,1.0,0.0,1.0,1.0,1
0.0,0.87,24.0,0.0,0.0,2.0,9999.900390625,-1.9742640256881716,-488.373834464794,53.654408,0.0,0.0,0.0,0.0,0
0.0,0.87,29.0,1.0,1.0,1.0,9999.900390625,-1105.0347747802734,-498.9139646789436,57.4334,0.0,0.0,0.0,0.0,0
0.0,0.88,33.0,0.0,0.0,2.0,9999.900390625,-2187.8560791015625,-475.5092105403591,53.185093,0.0,0.0,0.0,0.0,0
0.0,0.91,32.0,4.0,0.0,3.0,9999.900390625,-1166.8085479736328,-473.5133976642092,54.61422,1.0,0.0,1.0,1.0,1
0.0,0.94,21.0,1.0,1.0,6.0,9999.900390625,-0.05347765609622,-531.7211082343362,96.05055,0.0,0.0,0.0,0.0,0
0.0,0.94,38.0,3.0,0.0,5.0,9999.900390625,-1167.0987701416016,-474.0418527811291,54.635483,0.0,0.0,0.0,1.0,1
0.0,0.95,46.0,4.0,1.0,3.0,9999.900390625,-2031.7847900390625,-802.3122557953363,109.83559,1.0,0.0,1.0,1.0,1
0.0,0.99,26.0,8.0,1.0,6.0,1.6554073095321655,-17247.7841796875,-570.1817600769814,102.81291,1.0,0.0,1.0,0.0,1
1.0,0.03,22.0,10.0,0.0,2.0,3.799573421478272,-14077.841796875,-620.2811563920555,106.29998,1.0,0.0,1.0,1.0,1
1.0,0.08,43.0,9.0,0.0,6.0,9999.900390625,-17164.9228515625,-510.741447309481,54.1819,1.0,0.0,1.0,1.0,1
